"theta","se","time","method","n","truth"
38.5299537377819,1.10389681218378,0.367000000000004,"iid",400,38.38912
38.7957775182135,1.60855465288689,0.36399999999999,"emm",400,38.38912
36.9910325569462,1.56979067123935,0.364000000000004,"iid",400,38.38912
31.9053064410554,5.44181172721838,0.263999999999996,"emm",400,38.38912
37.9765479034171,1.21264702309965,0.358000000000004,"iid",400,38.38912
36.690651773324,3.14867470422948,0.24799999999999,"emm",400,38.38912
38.3344794795438,1.14191634401156,0.353999999999999,"iid",400,38.38912
38.8753961383387,1.46166169122601,0.254999999999995,"emm",400,38.38912
35.8265813268143,1.13995345778444,0.364000000000004,"iid",400,38.38912
37.6358213768793,2.19768817144497,0.272000000000006,"emm",400,38.38912
39.6702867218085,1.12970978636351,0.358999999999995,"iid",400,38.38912
39.5207200901411,2.24164704690425,0.262,"emm",400,38.38912
38.6347485052792,1.16046543644369,0.372,"iid",400,38.38912
35.4712776699777,3.00540744078265,0.256,"emm",400,38.38912
37.6671895593866,1.08402660899793,0.370999999999995,"iid",400,38.38912
38.364357691912,1.95676535150553,0.26100000000001,"emm",400,38.38912
38.0207025201794,1.02100850991526,0.359000000000009,"iid",400,38.38912
39.0295012801081,1.48424354482424,0.263999999999996,"emm",400,38.38912
38.0640012746848,1.10607782387603,0.358999999999995,"iid",400,38.38912
29.6130967190321,6.38013406904252,0.260999999999996,"emm",400,38.38912
37.585025011866,1.35537846392567,0.349999999999994,"iid",400,38.38912
41.0009016969703,2.10615777737185,0.25500000000001,"emm",400,38.38912
40.8597809354527,1.10489616818921,0.372,"iid",400,38.38912
52.2305400970869,4.98806168336287,0.253,"emm",400,38.38912
37.291564950873,1.071227315115,0.365000000000009,"iid",400,38.38912
40.9769477586111,2.16367630279185,0.254000000000005,"emm",400,38.38912
39.9612985462115,1.06163820251624,0.359999999999999,"iid",400,38.38912
39.6836926669929,1.89029043291027,0.251999999999995,"emm",400,38.38912
36.5523083800028,1.0526664709959,0.358000000000004,"iid",400,38.38912
21.9051573251458,6.21688180781569,0.260999999999996,"emm",400,38.38912
38.7796739262638,1.18639695673739,0.359999999999999,"iid",400,38.38912
41.463236547435,1.60188187950392,0.254999999999995,"emm",400,38.38912
39.1618603977484,1.12729736216558,0.364000000000004,"iid",400,38.38912
29.9195848955276,4.37820004656848,0.258999999999986,"emm",400,38.38912
37.2758626663102,0.990742103170418,0.36699999999999,"iid",400,38.38912
37.4879001817626,1.26469833828132,0.254999999999995,"emm",400,38.38912
37.2606968576409,1.2193840825712,0.353999999999985,"iid",400,38.38912
38.0980875048076,3.28242703832505,0.25,"emm",400,38.38912
40.332528885331,1.13251673356098,0.350999999999999,"iid",400,38.38912
39.3872162588935,1.42801097200218,0.27000000000001,"emm",400,38.38912
39.5409349764457,1.09935210827345,0.357999999999976,"iid",400,38.38912
40.942360709463,1.54510318831642,0.271999999999991,"emm",400,38.38912
37.5983424427697,1.0704045992505,0.369,"iid",400,38.38912
37.3760007779443,1.59332541501685,0.25800000000001,"emm",400,38.38912
35.5082238585148,2.4271719783906,0.370999999999981,"iid",400,38.38912
36.9360838757118,2.43736790625803,0.251000000000005,"emm",400,38.38912
40.1117586027317,1.2891910952094,0.35899999999998,"iid",400,38.38912
36.9304947236592,2.71340964852358,0.256,"emm",400,38.38912
38.4661328661523,1.8757514322659,0.361999999999995,"iid",400,38.38912
37.8768130579501,2.98430218472896,0.256,"emm",400,38.38912
42.6141981662135,1.51238192398731,0.364000000000004,"iid",400,38.38912
30.4547201566009,6.09000729797032,0.251000000000005,"emm",400,38.38912
37.7852517001063,1.31635145995095,0.357999999999976,"iid",400,38.38912
36.8033100293371,1.74604041636668,0.260000000000019,"emm",400,38.38912
38.3338832062571,1.07202627206121,0.375,"iid",400,38.38912
35.0138203415802,1.67460069806415,0.266999999999996,"emm",400,38.38912
38.0328716674885,1.00678112002898,0.371000000000009,"iid",400,38.38912
34.7900794154251,1.95144761621572,0.251000000000005,"emm",400,38.38912
38.7509026443063,1.09025800456815,0.365999999999985,"iid",400,38.38912
39.6117013194615,2.6951225282472,0.25,"emm",400,38.38912
38.2347815785575,0.996075993645007,0.363999999999976,"iid",400,38.38912
38.1324110987371,1.47708421445149,0.248000000000019,"emm",400,38.38912
37.2181809518953,1.49598809149442,0.353999999999985,"iid",400,38.38912
39.8301961665649,1.6805586769282,0.244999999999976,"emm",400,38.38912
36.676346414053,1.08331813678945,0.373999999999995,"iid",400,38.38912
36.3382818238864,2.17860751578568,0.26400000000001,"emm",400,38.38912
37.5165300528716,1.09760538079366,0.367999999999995,"iid",400,38.38912
46.1173231674244,3.06634326432847,0.260000000000019,"emm",400,38.38912
37.0893665265951,1.35996886621622,0.35299999999998,"iid",400,38.38912
38.2024962931978,3.2318886395152,0.25200000000001,"emm",400,38.38912
39.1107889599866,1.07735337698762,0.366000000000014,"iid",400,38.38912
35.0704918812706,2.8250036812447,0.277000000000015,"emm",400,38.38912
40.3395071458944,1.65041116756662,0.359000000000009,"iid",400,38.38912
24.2772885849877,5.25870439884573,0.246999999999986,"emm",400,38.38912
39.569759131435,1.08293225875649,0.366000000000014,"iid",400,38.38912
34.3619746853873,2.71659075233785,0.269999999999982,"emm",400,38.38912
38.0212490922022,1.0472621270388,0.376000000000005,"iid",400,38.38912
35.7426667103885,2.38732605239618,0.245000000000005,"emm",400,38.38912
38.4461230858207,1.04024685348885,0.350999999999999,"iid",400,38.38912
39.4177712826193,2.08364315704191,0.253999999999991,"emm",400,38.38912
38.9979437904829,1.02022144903928,0.363,"iid",400,38.38912
